,smiles
0,CC(Nc1ncnc2[nH]cnc12)c1cc(Cl)c2cncn2c1-c1cccc(F)c1
1,O=C(Nc1ccccc1Cl)c1cnn2ccc(OCc3ccccc3)cc12
2,COc1ccc2c3oc(=O)cc(O)c3c(=O)n(C)c2c1
3,COc1ccn2ncc(C(=O)Nc3ccccc3Cl)c2c1
4,NC(=O)c1cc(-c2ccncc2F)[nH]c1-c1ccccc1
5,NC(=O)c1cc(-c2nc(N)ncc2Br)[nH]c1-c1ccccc1
6,CC(Oc1ccc2ncccc2c1)c1c(Cl)ccc(F)c1Cl
9,CC(Oc1ccc2ncc(C=CCN)cc2c1)c1c(Cl)ccc(F)c1Cl
10,COc1cc(N2CCN(CC3CCOC3)CC2)ccc1Nc1nc(NC2CCCCC2)c2[nH]cnc2n1
11,CN(c1nc(NCCO)nc2c1ncn2C)C1CCCCC1
12,C[S+]([O-])c1nc(-c2ccc(F)cc2)c(-c2ccnc(NC3CCCCC3)c2)[nH]1
15,Cc1cc2cc(-c3nnc(NCC(N)Cc4ccc(C(F)(F)F)cc4)s3)ccc2cn1
16,CC(C)(C)NC(=O)Nc1nc2nc(N)ncc2cc1-c1cc(C(F)(F)F)cc(C(F)(F)F)c1
17,NCCCn1c(NC(=O)c2cccs2)nc2cc(C(=O)OC3CCCCC3)ccc21
18,O=c1nc(-c2ccc3c(c2)ncn3-c2ccccc2)ccn1CCCN1CCCCC1
19,CC1(COc2ccc(Cc3sc(=O)[nH]c3O)cc2)CCCCC1
20,Cn1c(=O)c(Oc2ccccc2)cc2cnc(NC3CCOCC3)nc21
21,Cn1cccc1-c1c2c(nc3sc(C(N)=O)c(N)c13)CCCCCC2
22,Nc1nccc(-n2ccc3cnc(Cl)cc32)n1
23,CC(=O)NC(Cc1ccc(O[PH](=O)(=O)O)cc1)C(=O)NC(CCC(=O)O)c1nc(CC2CCCCC2)no1
24,CC(=O)NC(Cc1ccc(O[PH](=O)(=O)O)cc1)C(=O)NC(CCC(N)=O)c1nc(CC2CCCCC2)no1
25,CNc1nc(-c2ccc3c(N)[nH]nc3c2)cc(N2CC(C(=O)NC3CCCCC3)CCC2C)n1
26,CC1CCC(C(=O)NC2CCCCC2)CN1c1cc(-c2ccc3c(N)[nH]nc3c2)nc(N)n1
27,Cn1c(=O)c(Cc2ccc(F)cc2F)cc2cnc(NC3CCOCC3)nc21
28,Cn1c(=O)c(Cc2ccccc2F)cc2cnc(NC3CCOCC3)nc21
29,CC(C)NC(=O)C1CCC(n2c(NC(=O)c3ccccc3)nc3ccc(CN4CCCCC4)cc32)CC1
30,COc1ccc(Oc2nc(OCC3CCCCC3)c3[nH]cnc3n2)cc1
31,Nc1nccc(-c2cc(N3CCCCC3)ccc2O)n1
32,c1ccc(-n2cnc3cc(-c4ccc(OCCN5CCCCC5)nc4)ccc32)cc1
33,CNc1c(Br)cnc2[nH]c(-c3ccc(OCCN4CCCCC4)cc3)nc12
34,Clc1c(Br)cnc2[nH]c(-c3ccc(OCCN4CCCCC4)cc3)nc12
35,Oc1ccc(-n2nnc3ccc(N4CCCCCC4)nc32)cc1
36,O=Cc1ccccc1O[PH](=O)(=O)OCC1CCCCC1
37,CCNc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1
38,CC(=O)Nc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1
39,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(N)nc21
40,CNc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1
41,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(N)cc21
42,CCN(CC)CCNc1cc2c(cn1)cc(-c1c(Cl)cccc1Cl)c(=O)n2C
43,CCN(CC)CCCNc1cc2c(cn1)cc(-c1c(Cl)cccc1Cl)c(=O)n2C
44,CCN(CC)CCCCNc1cc2c(cn1)cc(-c1c(Cl)cccc1Cl)c(=O)n2C
45,CCN(CC)CCCCCNc1cc2c(cn1)cc(-c1c(Cl)cccc1Cl)c(=O)n2C
46,CN1CCN(CCCCNc2cc3c(cn2)cc(-c2c(Cl)cccc2Cl)c(=O)n3C)CC1
47,CNc1cc2c(cn1)cc(-c1c(Cl)cccc1Cl)c(=O)n2C
48,CN1CCN(CCCCCNc2cc3c(cn2)cc(-c2c(Cl)cccc2Cl)c(=O)n3C)CC1
49,CN1CCN(CCCNc2cc3c(cn2)cc(-c2c(Cl)cccc2Cl)c(=O)n3C)CC1
50,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(NCCCn3ccnc3)cc21
51,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(NCCCCN3CCOCC3)cc21
52,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(NCCCN3CCOCC3)cc21
53,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(NCCc3ccccn3)nc21
54,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(NCc3ccccn3)nc21
55,Cc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1
56,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(NCc3cccc(C(=O)CCCCC4SCC5NC(=O)NC54)c3)nc21
57,CN(C)c1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1
58,CCN=C(N)N=c1[nH]c2nc(NCCCN(CC)CC)ncc2cc1-c1c(Cl)cccc1Cl
59,CCN(CC)CCCCNc1ncc2cc(-c3c(Cl)cccc3Cl)c(NC(=S)NCCCN3CCOCC3)nc2n1
60,CCN(CC)CCCCNc1cc2nc(N)c(-c3c(Cl)cccc3Cl)cc2cn1
61,CCN(CC)CCCCNc1cc2nc(NC(=O)NC(C)(C)C)c(-c3c(Cl)cccc3Cl)cc2cn1
62,CCN(CC)CCCCNc1ncc2cc(-c3c(Cl)cccc3Cl)c(NC(=O)NC(C)(C)C)nc2n1
63,CN(C)CCCNc1ncc2cc(-c3c(Cl)cccc3Cl)c(NC(=O)NC(C)(C)C)nc2n1
64,CCN(CC)CCCNc1ncc2cc(-c3c(Cl)cccc3Cl)c(NC(=O)NC(C)(C)C)nc2n1
65,CCN(CC)CCNc1ncc2cc(-c3c(Cl)cccc3Cl)c(NC(=O)NC(C)(C)C)nc2n1
66,CN(C)c1cc2c(cn1)cc(-c1c(Cl)cccc1Cl)c(=O)n2C
67,CCN(CC)CCCCNc1ncc2cc(-c3c(Cl)cccc3Cl)c(NC(=O)NC3CCCCC3)nc2n1
68,CCN(CC)CCCNc1ncc2cc(-c3c(Cl)cccc3Cl)c(NC(=O)NC(C)C)nc2n1
69,CCN(CC)CCCNc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1
70,CCN(CC)CCNc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1
71,CCN(CC)CCCNc1ncc2cc(-c3c(Cl)cccc3Cl)c(N=CN(C)C)nc2n1
72,CCN(CC)CCCNc1ncc2cc(-c3c(Cl)cccc3Cl)c(N)nc2n1
73,CSc1cccc(CNc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)c1
74,CN1CCN(CCCCNc2ncc3cc(-c4c(Cl)cccc4Cl)c(NC(=O)NC(C)(C)C)nc3n2)CC1
75,CN1CCN(CCCCNc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)CC1
76,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(NCc3cccnc3)nc21
77,CC(C)Nc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1
78,CN(C)CCCN(C)c1ncc2cc(-c3c(Cl)cccc3Cl)c(NC(=O)NC(C)(C)C)nc2n1
79,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(NCCCCCC(=O)O)nc21
80,CC(C)(C)NC(=O)Nc1nc2cc(N)ncc2cc1-c1c(Cl)cccc1Cl
81,Nc1cc2nc(N)c(-c3c(Cl)cccc3Cl)cc2cn1
82,CN1CCN(CCCNc2cc3nc(N)c(-c4c(Cl)cccc4Cl)cc3cn2)CC1
83,CN1CCN(CCCNc2cc3nc(NC(=O)NC(C)(C)C)c(-c4c(Cl)cccc4Cl)cc3cn2)CC1
84,Nc1ncc2cc(-c3c(Cl)cccc3Cl)c(N)nc2n1
85,CC(C)(C)NC(=O)Nc1nc2nc(N)ncc2cc1-c1c(Cl)cccc1Cl
86,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(NC3CCCCC3)nc21
87,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(NCc3cccc(N)c3)nc21
88,CN1CCN(CCCCCNc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)CC1
89,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(NCCO)nc21
90,O=c1[nH]c(CN2CCCCC2)nc2c1sc1ccc(Cl)cc12
91,Nc1nc(-c2ccc3c(N)[nH]nc3c2)cc(N2CCCCC2)n1
92,CC(=O)NC(Cc1ccc(O[PH](=O)(=O)O)cc1)C(=O)NC(CCC(=O)O)C(=O)NCCCC1CCCCC1
93,c1cc2c(ncc3ncn(C4CCCCC4)c32)[nH]1
94,c1cc2c(ncc3ncc(C4CCCCC4)n32)[nH]1
95,c1cc2c(ncc3nnc(C4CCCCC4)n32)[nH]1
96,O=c1cc(-c2ccn3c(-c4ccccc4)cnc3c2)ccn1CCCN1CCCCC1
97,N#Cc1c(N2CCCCC2)s[nH]c1=O
98,COc1cc(O)c2c(c1)CCCCCC(=O)CC(Br)CC(C)OC2=O
99,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1
100,O=c1cc(N2CCCCC2)oc2c1ccc1ccccc12
101,O=c1cc(N2CCCCC2)oc2c(-c3cc(-c4cncnc4)ccn3)cccc12
102,O=c1cc(N2CCCCC2)oc2c(-c3ncc(-c4cccnc4)s3)cccc12
103,O=c1cc(N2CCCCC2)oc2c(-c3ncc(-c4ccoc4)s3)cccc12
104,O=c1cc(N2CCCCC2)oc2c(-c3ncc(-c4ccccc4)s3)cccc12
105,O=c1cc(N2CCCCC2)oc2c(-c3ncc(-c4ccsc4)s3)cccc12
106,O=c1cc(N2CCCCC2)oc2c(-c3ncc(-c4cccs4)s3)cccc12
107,O=c1cc(N2CCCCC2)oc2c(-c3ncc(-c4ccncc4)s3)cccc12
108,O=c1cc(N2CCCCC2)oc2c(-c3cc(-c4ccccc4)cs3)cccc12
